Text,Label
"Thinking about how 1.5 decades of this subtle noticing may be supporting my ability to sense and feel shifting environments and systems, ‘feeling the water’ of the dynamic containers I engage with. Emergent dialogue, qi gong, collective psychic energy stuff",neutral
@DepressionFAQs Tai chi and Qi gong is so underrated. The practice can literally transform both mind and body. Should be socially prescribed and free for all.,positive
"@drclairetaylor @crwequine no resting of electronic devices - laptops, phones, tablets on the waist of body.

We are holobionts, GI microbiom emits electrons. the ""gut brain axis is highly important to our health.

BTW - perform Qi Gong Self-Massage after Qi Gong Breathing.

I'm a #longcovid longhauler.",neutral
"@drclairetaylor @crwequine Daily GI recovery:
Inulin (3xbananas), Myelin (12xWalnuts), Kimchi (70gProbiotics), leafy greens, variety of fruit and vegetables, salmon, trout etc

5-15 mins Qi Gong Breathing in a ""healthy woodland"" for the soil microbiome aerosols.

No inflammatory foods - candy, crisps etc",neutral
But first… some Qi Gong in today’s studio! Eye-level laptop. 😂 https://t.co/o2YgzWxBI4,neutral
"@kimdraxula @visakanv there’s a similar concept in traditional Chinese medicine, where u store emotions in your body and they create blockages that affect your qi

i’ve had great experiences with TCM, acupuncture and qi gong and i think there’s something to this",positive
@ImTheQ Ha. I do Qi Gong. They’re similar but Tai is like choreography and Qi Gong gong is the steps. Choreography and me don’t go well together. Ha.,neutral
@Stuck4ger @elonmusk @SpaceX You can connect to the Earth with Qi Gong.  😄,neutral
@elonmusk Can I offer an hour of qi gong in return?,neutral
"We go way back to 2017 with @RafiAnteby @RafiLounge 

We trained qi gong and tai chi. https://t.co/R64a7hV3hz",neutral
"@OratioLiberatus @ablackcatstail It's okay for you stop thinking about world problems for an hour or two hours or more. Listen to some music. Walk in Nature. Do some Tai Chi, Qi Gong or Yoga. Watch a comedy. There are good people and there is beauty in the world still. Be grateful for that.",neutral
"@BentallProf A year ago I started a programne of intensive and targetted meditation practice, kundalini yoga and qi gong.  3 weeks ago I experienced depression as a fleeting and vague bodily sensation, with no narrative attached to it (yet fully aware of its trigger). /1",neutral
@Arwenstar Yoga and Qi Gong are good. Also accupuncture.,positive
"@Arwenstar Tai Chi, Qi Gong, yoga... Also introduce caffeine reduction,chamomile tea,avoid alcohol &amp;other stimulates.Earthing,as much contact with nature as possible.

https://t.co/SxFlkN1btq",neutral
"Jiang Shang, typically known as Jiang Ziya, or Lu Shang, honoured as Taigong Wang and thus sometimes referred to as Jiang Wang or Lu Wang, respectfully called Shi Shang Fu by some, historical rank Qi Tai Gong,",neutral
"@SkipLansom @JamesMelville subjective. i dance every day—it looks super weird and i’m healthier than i’ve been in 20 years. also, qi gong is one of the smartest forms of exercise ever created. you may not agree with their government; and neither do i, but this, like i said, is not all that bad.",positive
"You see this clearly in Qi Gong

practice. (Chinese Yoga).

We focus on centering the qi 

energy and building it in the 

body.",neutral
@HalCranmer @TYonClubhouse @modernTman The healthiest diets are WFPB and The Mediterranean Diets. Put on a 5 minute Qi Gong video. Don’t put them on a weightlifter’s diet. https://t.co/k2VtUDJZWE,neutral
@MarkReagan42 @bergmunroe @GretaThunberg Impressive. My husband does kung fu. Me I stick with qi gong,neutral
"@L_Cathy_60 @drjamesdinic Try Moving Meditation, same results! 
Qigong or Taichi (slow execution and abdominal breathing). Search for YMAA from Dr. Yang (eight peace brocade Stand Qi Gong)",neutral
