Text,Label
"Special thanks to Gia Compagnoni, MD, Charlotte Dioguardi, MA, BSN, RN, Debbie Stamm, APRN-BC, and Sharon Jensen LCSW  and Suzanne Martinez for presenting information about breast health, integrative medicine and lifestyle tips to ensure health &amp; wellness.  @AdvocateAurora https://t.co/U70J8hZt2k",neutral
"For top-quality and professional integrative and anti-aging medicine, look no further than Regenesis MD. Give us a call to schedule a service today! (919) 322-2844. https://t.co/8xqSu2l7DI https://t.co/luS5SPsJ7I",neutral
At the annual ACP-Arizona meeting listening to our opening speaker Dr Victoria Maizes the Executive Director of the Andrew Weil Center of Integrative Medicine teaching our @ArizonaACP physicians on the art of patient communication. https://t.co/pQu0CwOrrH,neutral
Understanding Symptoms of Neuropathy in Vacaville | By Absolute Integrative Physical Medicine https://t.co/3aIaP34dzX,positive
"""theory"" of the cure marijuana oil types of cancer

Can Cannabis Cure Cancer?  https://t.co/WsicRwpWrk https://t.co/VaYNuKvvXD",neutral
"Athletes of all skill levels can benefit from the sports medicine services offered at Amaro Integrative Medicine. Visit our website to learn more about our specialists and how we can enhance performance!
https://t.co/hTGpNQrTdQ https://t.co/AvGHti7xGV",positive
Why Babies Need Chiropractic Treatment in Vacaville | By Absolute Integrative Physical Medicine https://t.co/FPTL3WoY6s,neutral
"Dr. Bojana Jankovic Weatherly, who practices Integrative &amp; Functional Medicine, joins the show to talk about science-backed treatments that help achieve optimal thyroid health, how to recognize thyroid issues, and healing the body as a whole. Tune in now: https://t.co/7nZ5RIowYV https://t.co/33etAmxyu2",positive
"When we see patients with digestive disorders at our Center, we use a functional medicine approach to look for signs of inflammation in the gut, food sensitivities, and infections.

Click below to learn more...
https://t.co/snnzlvfjds https://t.co/3jAjJlTtVZ",neutral
"Learn a little bit more about our Integrative Medicine Physician Andrew David Shiller, MD and how he approaches finding the cure to any symptoms:

""My goal is to understand the root cause of your symptoms and distress, and to find the best solutions, through detailed, integra... https://t.co/kIrObmSHbQ",neutral
Complementary medicine (CM) or integrative medicine https://t.co/7vcmi40ZVY via @YouTube Complementary medicine (CM) or integrative medicine (IM) is when alternative medicine is used together with mainstream functional medical treatment  it improves the effect of treatments.,positive
@quarantoon @DouglasDavisRN @LeahMcGrathRD Same goes for pseudoscience apologists who brand their grift under the banner of “alternative” and “integrative medicine.” Those are marketing terms and scams. https://t.co/sDsJdJKzcE,negative
@JSplurky The bread and butter of “alternative/integrative medicine!” Sell fake cures for both real and fake diagnoses. Don’t just sweep medical ethics under the rug—bury it.,negative
"@dr_niranjana Read and learn what real doctors and scientists have to say.
But if it's money you are talking about, integrative medicine is top of the line con job.
https://t.co/4dlLwbjOBx",neutral
@DouglasDavisRN @LeahMcGrathRD They are one of my favorite things to mock. https://t.co/4IYR3lNB56,negative
@JuliePurmalis And a garage line of thinking that is baked into the wellness industry under the guise of “alternative/integrative medicine.” 👍,negative
Any themes from integrative medicine? Salutogenesis is close but not quite. Autopoiesis is relevant but not quite there too….,neutral
"This talk is hands down the BEST talk on workplace wellness, DEI in integrative medicine, and a call to action that I have EVER heard. 
Brava @DrRomie 👏🏾
I am in complete awe 🤩
#MedTwitter #AIHM22 https://t.co/gmiu0qy028",positive
"First off, look at this incredible conceptual framework to understand the science behind studying and implementing integrative interventions in medicine #MedTwitter #AIHM22 https://t.co/zjCZfVe174",positive
"@bwyman @ninaksimon Something to open your chakras and likely involving an expensive retreat or an ongoing course of twice weekly “treatment”. Note, western medicine has been of little use to me when experiencing flare ups. I too hv great respect and appreciation for integrative health practices.",positive
"@MikiSchmiki Believe it or not, there are people in “alternative/integrative medicine” circles who deeply confuse themselves and don’t understand that spoon bending is a magic trick.

These same people then feel scientifically equipped to chastise the evidence in virology and psychiatry.😂🤷🏻‍♂️ https://t.co/CEQSuOzif0",negative
"@RGellibolian @this_is_mallory In addition to being an anti-vaxxer, Tenpenny is also worshiped in “integrative medicine” spaces. 

Revoking her license is unsurprising for its merit, but slightly surprising that regulatory boards are stepping up. We need more of that. 😊",negative
@cmishmom Have him see an Integrative/Functional Medicine Cardiologist. That might improve his quality of life and chance of living to old age. Best of luck. https://t.co/zbOvjE1kaK,positive
"@TheBreakdownAB Also, other ""medical"" practitioners she's in favour of include naturopaths, integrative medicine, homeopaths, chiropractors.😬 https://t.co/7X1455l6Ba",neutral
@CaulfieldTim You never told me you’ve been to an alternative/integrative medicine conference!,neutral
@justaplacetosee You said it!  How are these doctors who are gaslighting patients NOT committing suicide because of what they have done.  I quit my integrative medicine doc because he basically pushed all his patients into taking the shots.  How is he NOT seeing what he did to them by now?,negative
"@JasonLG1979 @JohndavidSwasho @richardmarx Are you a medica practitioner or researcher If not, you can give a medical perspective. there is integrative medicine that incorporates conventional medicine,  natruapathy  and spiritual practice.",neutral
"@JaneSymons1 Basic biology is certainly not the forte of self-styled wellness gurus, especially those who brand their pseudoscience under the guise of “alternative/integrative medicine.” https://t.co/KLlIj1OnmG",negative
"@annalisa4711 @DrJamesOlsson That is what a client, knowledgeable lady in 90s felt too. Nearly always became ill same evening of flu vaccine so did not care to take it any longer. 
Her primary strongly recommend it.
Asked me what she should do. She knew it was harmful.

Integrative medicine is preferable.",positive
"@brianpcurry @kritzy27 @this_is_mallory I'm saying:
He attended medical school at the University of Arizona focusing on integrative medicine and nutritional biochemistry.
I think he knows a lot more than you do.",positive
"@kritzy27 @this_is_mallory Nonsense. He attended medical school at the University of Arizona focusing on integrative medicine and nutritional biochemistry. Prior to medical school, Dr. Saladino worked as a physician assistant in cardiology.",neutral
"@MinervaKincai19 I hear you.😊

Though, we know that people can fall for fake science news due to many interacting reasons beyond education and intelligence. Even MDs--hence, those who push pseudoscientific treatments under the guise of ""alternative/integrative medicine.""

https://t.co/cHkY0zNOuE",negative
"@rdshanky @JimWrig08299591 @DrOz Dr. Oz is a graduate of Harvard, BS degree &amp; Univ of PA,MD &amp; MBA.He did his residency at Columbia Univ,is a cardiothoracic surgeon &amp; was the Director of the Cardiovascular Institute &amp; Integrative Medicine Program at NY Presbyterian Hospital &amp; Professor at Columbia Univ.",neutral
"@ArkhamFantasy 😂

It's the many ""alternative/integrative medicine"" propagandists who apparently believe that the laws of physics can be violated.

https://t.co/jPQQtXs0Ma",negative
"@lostNfound @this_is_mallory A perfect fit to pretend you’re a “patient advocate” that jumps on any opportunity to promote anti-vaccine propaganda and other pseudoscientific treatments too! Just call it “integrative medicine,” make a terrible website, and self-delude you’re making a difference! Lol. 😂🥄",negative
"@Theholisticpsyc Pls read this you will agree https://t.co/KBHBAoEw7G
Whether Ancient Ayurveda , Traditional Chinese Medicine or modern research based Functional Integrative nutrition , food science is always at forefront of wellness. 
Foods can removes deep rooted negativity and childhood trauma",positive
@DrJamesOlsson Switch to Integrative medicine doctors or TCM (Traditional Chinese Medicine) doctors whom other can recommend.,neutral
"@mikejwhelan @Becka73266384 Michael, can you see if your healthcare group or a local group has an Integrative Medicine dept? At my hospital, these docs are trained in western medicine and also traditional approaches. They should be able to suggest a non-pharmaceutical approach.",neutral
"@Terry_Tiernann @Bloodclaw12 Indeed. Alternative/integrative medicine has always been known to have a not-so-secret love affair with the anti-vaccine movement.

Most people who regularly share its propaganda don't even realize their strings are being pulled. But again, no excuse from health professionals.",neutral
@erikstrattonkw glad i could offer you a clue to your mystery! a warning that some doctors don't take mold very seriously and you might have to seek out an integrative or functional medicine doctor to get properly tested.,neutral
"@LeonidasPlatan1 @DrOz mehmet was an early advocate for integrative medicine approaches, with studies on post surgical hypnosis to reduce recovery. WTF happened @DrOz  please tell me?!  I used to admire you.",negative
"I've seen a cardiologist, gastroenterologist, neurologist, rheumatologist, allergist, endocrinologist, nutritionist, integrative medicine doctor, and functional medicine doctor.

I've enrolled in two long-COVID clinics. My symptoms have sent me to the ER 5 times.",neutral
"healthcare team who do not take your health complaints seriously. The second step is tapping into the power of integrative medicine.""",neutral
"integrative medicine the norm, rather than the exception. Even though people with long COVID have a long way to go with recovery, it is possible that with the right treatment, quality of life can be improved. The first step in accomplishing this is to remove doctors from your",neutral
"@ohmyword1 I watched a few of his shows years ago.  The comments on Amazon are much, much more helpful getting at integrative medicine (utilizing human global experience of eons).  Oz makes me think he'd have us so good at self-care that even ER's will go out of business. Nursing homes too.",positive
"The team, led by @aslikselcuk, claimed dark chocolate and music could be used to help with #dysmenorrhea
https://t.co/c41oRupjKD
""The latest study, published in the European Journal of Integrative Medicine, tracked women aged 18 to 25 studying at Manisa Celal Bayar University.""",neutral
@Matt091749 @Christo19725794 @ElliotColburn See a Functional Medicine provider. And an Integrative Cardiologist. They might have answers for you that mainstream medicine doesn’t.,neutral
"@EyeSpy196 @ABDanielleSmith I’m very sorry to hear this. 

Let’s continue to expose the pseudoscientific grift in the wellness industry—especially under the guise of “alternative/integrative medicine—so that people feel better positioned to protect themselves. 👊",negative
"@JerryOmoaka @diamondemee @the_beardedsina He is a registered naturopathic physician, if he is, he won’t say that, he will look into complementing the conventional medicine with integrative and preventive medicine knowledge. Naturopathic Physician/Doctors are not Traditional medicine doctors, they are doctors trained and",neutral
"@DrMcThickens No more bio-medical model?

New knowledge from integrative research projects reveals a need for theoretical and practical reorientation in medicine with respect to understanding health, on both the individual and the community level.

https://t.co/0bJ4GqB9zH",neutral
"@Shaykay1717 That's really tough. I hope you find someone to help, maybe integrative medicine first, insurance will usually cover most. Intravenous vitamin drips to make him stronger",positive
"@AntonyPMueller New knowledge from integrative research projects reveals a need for theoretical and practical reorientation in medicine with respect to understanding health, on both the individual and the community level.

https://t.co/0bJ4GqBHpf",neutral
One of my favorite bits is how some Senators started funding alternative medicine -- 'integrative' where Western medicine disintegrates the mind-body connection -- because they believed we might be missing out on some great cost saving treatments.,neutral
"@Ryan_ETyler My pleasure. And well said.

I’m currently working on a commercial book to expose the pseudoscientific grift in the wellness industry—especially under the guise of “alternative/integrative medicine—including its intersection with anti-psychiatry propaganda. 

More here: 👍 https://t.co/1hTCnBOpgC",negative
"@maquitorf I’m so sorry to hear about your aunts. 💔

I’m no fan of the patient-blaming rhetoric that is foundational to “alternative/integrative medicine.”

We need to continue to expose it so that others can protect themselves against unwarranted, internalized shame. https://t.co/QEanzKlmpv",negative
"Want to learn more about our Integrative Health Studies at CIIS? Our program embraces a multifaceted approach to integrative health that includes psychological behavior change, holistic lifestyle medicine, and addressing community-based health disparities. https://t.co/8GpLrd24l1 https://t.co/zVgB27mhUd",neutral
"@Art_Fart17 @BrianSuttererMD Yes it’s called integrative medicine &amp; it works beautifully. 

There’s a whole world outside of traditional ‘American’ medicine. 

You should check it out sometime.",positive
"To our knowledge, this is the first report of integrative analysis in aAML patients that has identified a classification in which sex serves as a risk predictor. This work underlines once again the need for precision medicine in AML research.

5/7",neutral
"@NIH_NCCIH @NIH Alternative: Bullshit instead of real medicine.

Complementary: Bullshit next to real medicine.

Integrative: Bullshit stirred together with real medicine.",negative
"@NatRevClinOncol @ADesaiMD @maryam_lustberg @gary_lyman Thank you kindly @JunMaoMD✨for your MSK highlight!

So in awe of your wonderful Integrative Medicine program, and please help us highlight your terrific @ASCO guidelines on the topic further. 

cc @gary_lyman",positive
@jamesamcgee But I've been using that holistic anti-aging cream that I found on a terrible integrative medicine website. What gives? 🥄,positive
"@shashikapoor Personally, I'm sick and tired of the pseudoscientific grift that unethically dupes patients and is representative of ""alternative/integrative medicine""--and I won’t rest until I expose it to as wide an audience as possible. 👊",negative
"@shashikapoor I'm so sorry to hear this. 💔

We need more advocacy for chronic illness patients to protect against the misinformation and grift in the “alternative/integrative medicine” community.",negative
"@jemima1114 @DRhozzy @ScouserSteve3 @debbie2291 @donkoclock @mzzrach @kleytoncooper @Artistlearning @JulieJulesLamb @NewfMom29 @gas_patient @littlenanann @nicholsstark @MagicMark9 @resistorCheryl @KatherineMorte8 @DarlaStephen2 @ChristineEWinn2 @HippieChick7591 @19059787714 One of my best friends is a super intelligent pharmacist. She also studies functional and integrative medicine. She swears that people who stuff their feelings or are full of hatred end up with serious, chronic illness, like cancer.",neutral
"@nathaliejacoby1 yes, and integrative medicine and chiropractic care. higher education should also be free.",neutral
@MedicAcupuntura Too funny! I wrapped up my travel &amp; will focus on more research to increase evidence base for #acupuncture &amp; integrative medicine.,neutral
@voluntaryasmine See if you can find an integrative medicine family practitioner. They are typically more tolerant.,neutral
"@Sulleymon When it comes to “alternative/integrative medicine” propagandists, we may be waiting a long time. Lol.

Maybe one day some will admit they knew they were wrong all along but their egoistic interests/intellectual hubris prevented the acknowledgement at the expense of patient care. https://t.co/KLlIj1OnmG",negative
@athena_rose922 @MichelletypoQ It’s the same scientific illiteracy and stubbornness that is pervasive in the alternative/integrative medicine community. Let’s keep exposing it. 😊👍,negative
"@SpiralDee 🔥👍

Words and phrases that invite suspicion:

$cience.
I'm not anti-vax.
Detox.
Experimental shot.
Allopathy.
Sick care.
Dis-ease.
Toxin.
Shill.
Boost the immune system.
Energy medicine.
Ivermectin for Covid-19.
Holistic.
Robert Malone.
Homeopathic.
Integrative medicine.

Etc.",negative
"@jerrymacgp The evidence is crystal clear that “energy medicine” is scientifically ludicrous. 

And yet, we will find many of its proponents in the alternative/integrative medicine community double-down and then have the intellectual hubris to try to chastise evidence-based health care. 🤦🏻‍♂️ https://t.co/GCwfoxK0mZ",negative
"@JSplurky @DrAnnieHickox I hear you. 👊

The pill-shaming and patient-blaming that is endemic in “alternative/integrative medicine” and anti-psychiatry circles reflects abysmal mental health literacy. The people who push its propaganda are often as clinically naive as they are stubborn to learn.",negative
"@MrsProctor2010 @DressFor_ME @Naomi_D_Harvey @cfs_jo @KSchnickelfritz My regular GP is brilliant &amp; supportive but this is not her thing, so I see a GP who specialises in Integrative Medicine, he's the one who's sorting out my supplements. Also told me my 'normal' B12 is actually too low so getting B12 shots as well (not helped by being vegetarian)",neutral
@andyypants @DebLindsay58 Avicenna's Medicine: A New Translation of the 11th-Century Canon with Practical Applications for Integrative Health Care https://t.co/07KiQ6qUr9,neutral
"Integrative Medicine: Integrating Quackery with Science-Based Medicine
https://t.co/GznWe1yvHc",neutral
"@jambamthnkyadan Wow, you’re invested, lol. I also have my M.S. in Integrative Health specializing in Holistic Nutrition &amp; Herbal Medicine. I spend lots of time reading research &amp; clinical studies in health, medicine &amp; nutrition. I never claimed to be a doctor, so, what’s your point 🤷🏻‍♀️",neutral
"@hopinandhoppin @MinnesotaMECFS the go fund me info looks promising. I'll definitely be keeping an eye on this space. I've been getting great care with an integrative medicine provider at penny george (part of Allina) so to be fair I'm not sure what more they could offer me, but hopefully help for the community",positive
"@swimbikestumble Agreed. Same with “energy medicine.”

But alas, “alternative/integrative medicine” propagandists still need their grift to dupe patients. https://t.co/KLlIj1OnmG",negative
@firemonkey1957 And that kind of ignorance and misinformation is pervasive in “alternative/integrative medicine” spaces. https://t.co/2yz84m372m,negative
"@firemonkey1957 @tylerblack32 Yep, the “alternative/integrative medicine” grifters unfortunately do. https://t.co/QEanzKlmpv",negative
"@RisetteMD Yes! 🔥👍

The irony is completely lost on them.

The very existence of “alternative/integrative medicine” is predicated on creating a false dichotomy and polarizing narrative that aims to sow distrust in evidence-based health care.",negative
"@JoeAllenNewman @headdock @PTSDAdvocate @CRPSisaRealPain @SpicyPurritos @dawnimatrix @Bilked2TheBrink @ThomasKlineMD @hellflower5 @MasseyMinerd @BlackSwanAK @KatTwisted @MsKittyresist @HollySt92337394 @truth_uni @Faithgirlee @Mrsyumahotrod @ibdgirl76 @MediaClymer @GeneW22614687 @plwin49 @MomalaDearest @HeatherLinda11 @TLCStruggle @puppyluvr312 @AdamGentry2021 @CanadaPain @josephcarolan20 @Irishbrat1966 @TheFuglyFrog @Nashkitty66 @LynnH26159395 @GasserKellie @OldHeadFighta @Annemarie55USA @JosephFalzoneMD @FollowingForFu2 @MelindaJaneOwe2 @CContrarus @secondchances09 @Merry_Hippie @JonelleElgaway @DrRevo @1959smith715 @PlayLynny4U @PithyPins @vendingcomics @hope411adcock @TerriMe3 @Danniedean5 I sure would like to see some of your results if you’re sharing when that’s complete. There could be some real value in it for people in my life that believe only one thing will stop the pain. I’m a believer in integrative medicine.I’d just like to show what worked,or didn’t.🤍🕊",positive
@svembu @AksUnik 2/2 One suggestion to the Medical Team: Publish their outcomes in Medical Journals for further enhancing the field of Integrative Medicine (https://t.co/GfhgA7QI7g),neutral
"@TheCullObsidian Unfortunately, grifters thrive in the wellness industry too under the guise of ""alternative/integrative medicine"" and no health topic is spared from their scientific illiteracy.

And we need to continue to expose it.

But I agree with the sentiment. 😊👍
https://t.co/vc9jALvdqu",negative
"@Used2BU 4/4

that parades under the banner of “alternative/integrative medicine.” And I’m thrilled and grateful for the platform to do so. And I'm salivating to get started. Thank you for your support. 😊👊",positive
"@weskerfoot Reversing the burden of proof is classic pseudoscience.

No matter how much grifters whine about unequivocal misinformation, such as germ theory denialism, ""alternative/integrative medicine"" propaganda, etc., it will continue to be exposed.😊👍
https://t.co/b8pEh8Lmzs",negative
"@m_ashcroft I had these exact symptoms for months after covid. Tests normal, traditional medicine didn't have an answer. Went to integrative doctor who diagnosed candida yeast overgrowth (messed up gut biome). Went on essentially keto elimination diet (no carbs, sugar, dairy) + colonics.",neutral
"@Bloodclaw12 1/

Yes. 😊👍

Legitimate health professions are philosophically predicated on evidence-based medicine, which is baked into their codes of ethics and legal standards of practice.

The wellness industry, under the guise of ""alternative/integrative medicine"" is barely regulated",negative
"@EdzardErnst I think I'll stick to my old definition. Something to the effect that: 'integrative medicine' is the practice of integrating medicine with BS (more often than not, small amounts of medicine and heaps of BS).",negative
"@xyzfredsmith @JuliaHadley15 @NoMandatesOz mmr booster &amp; 2 other ones. It did a number on my memory so that’s all I can tell you. Been on disability since. Got help from integrative medicine doctor a few years ago, he’s actually helping. Many years of neglect by insurance dictated doctors.",positive
"@cliff04u2 This is true, thankfully integrative / function medicine has a better grasp of the situation.",positive
"@TeamMaga45 @TerrieKillL If you get no relief, consider trying a functional medicine doctor.  I had severe health problems 40-years ago and conventional doctors just sent me down a rabbit hole.  Integrative doctors fixed me.  DM me if you have any questions",positive
"@thehormoneD0C Any tips for rheumtoid arthritis.And in ur area too, how about integrative medicine. We can't all Ayur meds hv steroids, can we?",neutral
"@drbillgibson 💯 

Who's going to tell the ""alternative/integrative medicine"" propagandists?",neutral
"@wendydheard I took peptide injection of NAD daily for about one month and my energy increased and now I am not suffering the fatigue.  I still pace myself but I am much better.

You get it by Rx from doctor. You need to see an integrative/functional medicine MD.",positive
"@welcomewords This has been my daughter dealing with her father and typical pediatric specialists for chronic pain. I’m so sorry. It’s enraging and scary. Your friend needs to find a long Covid literate doctor, integrative medicine type doctor because the standard typical ones all…",neutral
"@ArcheeDebunker And isn't it odd that the ones on God-like missions in the wellness industry under the guise of ""alternative/integrative medicine"" want your money in exchange for pseudoscientific treatments? Doesn't sound very righteous to me. 🤷",negative
"@gingras_andrea Good question. Unfortunately, the grifting world of ""alternative/integrative medicine"" is very much caveat emptor: buyer beware, which is precisely why we need to improve health/science literacy. 👍",negative
@mleipe @theproof @NutritionDanny @AlanFla34762892 Yes—narcissistic tendencies are certainly part of the equation when it comes to “alternative/integrative medicine” grifters. 👍,negative
"@the_beardedsina Nigeria, no doubt, is blessed with a plethora of medicinal plants.

However, these medicinal plants must be subjected to scientific/clinic protocols to ensure utmost safety.

Enough of anecdotal evidences, unproven historical data or mere emotions.

Let's do integrative medicine!",negative
"@PainChampions Very true for many conditions! Modern medicine isn’t enough for many patients and falls short in many aspects. We all should be open to an integrative, holistic approach to healthcare for the best possible outcome.",positive
"@BlackshepSusan This is changing Susan. Many med schools are adding integrative medicine programs to their curriculum. ACLM and other lifestyle medicine doctors are educating practitioners and patients alike.

Patients deserve the best and safest care.",positive
"@facisback And some of these folks think they're qualified to treat patients. Imagine them sitting with a patient and their family who experiences severe mental illness. What are they going to do?  Give them a propagandized ""integrative medicine"" lecture? Let's continue to expose them. 😊👊",negative
"@safetythird1 @DrAnnieHickox 2/2

In ""alternative/integrative medicine,"" it's combined with pseudoscience--in an untrained, sloppy, haphazard, oblivious way--to lend it a veneer of legitimacy. Oh to have the confidence/privilege/naivety/lack of accountability of a wellness guru. Lol.",negative
"@Malo_82 Unsurprising to see such academic fraud. Also see pseudoscientific journals under the guise of ""alternative/integrative medicine.""

As it turns out, I'm writing a take-down of the wellness industry as we speak, one publisher of which is OxfordUP. I might just include it. 😊👊",negative
"@RisetteMD Lol. Yep. 

And it's no coincidence that the staunchest self-styled ""patient advocates"" in “alternative/integrative medicine” circles are often the least likely to actually listen to patients or value science in the service of their own egoistic interests.",negative
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
