,content,label,sentiment
20,"Incense with its ability to invoke physiological changes found its way into Chinese medicine. Guess what’s the function of these herbal medicine  Rose, Jasmine, Lavender, Mint, Argyi, Clove, Ginger…  #2022ISVC    ",positive,0
21,baofu's a talented qigong practitioner and it's never mentioned again  ( there's also a line that mentions him using chinese herbal medicine primarily to treat himself like damn old man knows his stuff.. ,positive,0
22,"Thanks Critical Medicine for the follow! Check us out at  for more herbal recipes, articles, and products",positive,0
23,"NaturaHeal Vitality Health Foods Dubbo-NaturaHeal Naturopathy is located at Shop 120B, Orana Mall, 56 Windsor Parade, You can buy healthy products here and they specialise in Naturopathy, Herbal Medicine,Ayurvedic Medicine,Fertility, Natural Medicine, Natural Sports Nutrition...",positive,0
24,Bible Of Alternative Medicine Reviews – Natural Herbal Remedies Book? (Dr. Ralph LaGuardia MD) – Outlook India ,positive,0
25,My Chinese herbal medicine is sooo gross    like i respect it..but the taste !! is horrid !!  I force that shit down ugh,negative,2
26,"It seems to be developed by people who are experts in herbal medicine. It’s really good for your body, and moreover…",positive,0
27,This week I've been creating bespoke medicinal teas for patients.  In person and online herbal medicine consultations are now available. DM for details    ,neutral,1
28,Man I just wanna live in a state where I can access herbal medicine instead of these stupid anxiety meds...WTF is going on!?!?  It's 2022 and we're doing all this extra BS but can't make a unanimous Law to help others as well as keep people out of jail and wrecking their future,positive,0
29,FREE READ [PDF] Encyclopedia of Herbal Medicine  550 Herbs and Remedies for Common Ailments  ,neutral,1
30,Studying herbal medicine (phytotherapy) by the ocean and the mountains   ,positive,0
31,[EPUB] DOWNLOAD Herbal Medicine From The Heart Of The Earth  ,neutral,1
32,"Excuse me for interrupting. I thought the same thing as you, and brought herbal medicine for Ritsu-kun to drink.",neutral,1
33,DOWNLOAD [PDF] The Modern Herbal Dispensatory  A Medicine-Making Guide  ,neutral,1
34,I have given a lot of people hope to live.  I have given a lot of people assurance that herbal medicine that works without negative effect exist.  I have given many assurance that Young men still love and value culture.    I have cure many people of incurable infection and diseases.,positive,0
35,", The Best Whole Herb Medicine for Prevention and Treatment of   ",positive,0
36,Herbal Medicine for Beginners  Your Guide to Healing Common Ailments with 35 Medicinal Herbs HLGPUYK    ,positive,0
37,Mother Nature's  Cabinet   ; Bright Star  merge on                       ,positive,0
38,Hoodoo Medicine  Gullah Herbal Remedies YCONBQH    ,neutral,1
39,"The Essential Oils Apothecary  The Complete Guide to Herbal Medicine  Healing Power of Herbs, Aromatherapy, field book, and h NPJKIO6    ",positive,0
40,IndiHerbs Napcapz is made of 100% Natural Herbs long known for their Tranquilizing properties.                 ,positive,0
41,"/ myatu region oc  Jiwa, A young man who own a Herbal medicine business ",neutral,1
42,"Oh, haha… That's Master's herbal medicine you're tasting. He gave you some while you were unconscious.   Before I forget, Master mentioned you should take more medicine once you wake up.   Ah, Whoops!",neutral,1
43,"《¿¿》Herbal +27732048614 medicine penis enlargement CREAM/PILLS/OIL for sale in Midrand, winnie mandela ",neutral,1
44,Thank you for contacting DOCTOR RAPHAEL M.MPUTA AFYA POINT MEDICAL ;HEALTH HERBAL MEDICINE  TANZANIA WORLD WIDE! Please let us know how we can help you. TNO- TELEPHONE/MBN +255629871392/+255764361392/+255629070126/+255768499907 and email address is raphaelmputa0666.com ,positive,0
45,"If you get a stomach ache, a cup of herbal tea with Silk Flowers will clear it up in no time! Huh? Of course you can trust my herbal remedies! We chefs are expected to know a thing or two about medicine as well, you know!",negative,2
46,"Imagine if I failed my herbal medicine degree because I refused to engage with the tasks set for the nutrition module, even though they're dropping it next year anyway",negative,2
47,[EPUB] DOWNLOAD Alkaline Herbal Medicine  Reverse Disease and Heal the Electric Body (Alkaline Plant Based Series)  ,positive,0
48,(PDF)FULL DOWNLOAD Herbal Medicine for Beginners  Your Guide to Healing Common Ailments with 35 Medicinal Herbs  ,positive,0
49,Spagyric internal alchemy denotes to separate and recombine extract recalibrate astral light etheric energy body from the earthly through herbal medicine higher consciousness goal ,positive,0
50,DOWNLOAD [PDF] Encyclopedia of Herbal Medicine  550 Herbs and Remedies for Common Ailments  ,positive,0
51,DOWNLOAD [PDF] The Practical Herbal Medicine Handbook  Your Quick Reference Guide to Healing Herbs  ; Remedies  ,positive,0
52,"READ EBOOK [PDF] Dr Sebi's Book of Remedies  Alkaline Medicine Making and Herbal Remedies for Common Ailments | Boost Immunity, Improve Health and Lif  ",positive,0
53,You know it always makes me so sad that homeopathic medicine gets a bad name because of people who pretend it can do things it can't. I hate that whenever I offer someone some essential oil or herbal remedy for something I'm worried they'll think I'm one of THOSE people,negative,2
54,"Herbal supplements are products derived from plants and/or their oils, roots, seeds, berries, or flowers. Herbal supplements have been used for many centuries.             ",neutral,1
55,"    Since Traditional herbal medicine is natural, many people think that it has no  unlike Western medicine, but unfortunately Traditional herbal medicine also has side effects, so minimum caution is required.     ",negative,2
56,Baban Aisha herbal medicine is popular than your presidential candidate in Nigeria.,positive,0
57,Be always assured that the Royal Herbal Home will continue to give you effective herbs and sustainable herbal medicine for a better living. Contact us today or visit our website  to place order          ,positive,0
58,Wild Remedies  How to Forage Healing Foods and Craft Your Own Herbal Medicine 7KRMAVC     ,positive,0
59,My gf is feeling so much better the herbal medicine is working great. It even is shrinking her thyroid . I'm so happy. Back to   inspired by her. The    fighting her battles just like my gf!     ,positive,0
60,"The Psychopharmacology of Herbal Medicine  Plant Drugs That Alter Mind, Brain, and Behavior 8O9TPQP    ",positive,0
61,All these these bush teas my old Jamaican grandmas and aunties use to force me to drink and it taste so horrible I’ve realised these herbal teas was great stuff and do a lot of great things spiritual knew they were conjuring up some old time medicine  ; i’m here for it all now,positive,0
62,Since abortion is finally illegal. Isn’t trying to end your pregnancy by traditional “medicine” or herbal are pretty much the same!!?   ,neutral,1
63,"From my experience of seeing many doctors for some reasons, at least in mental clinics Chinese herbal medicine is often used as a first choice for patients in my country because it's covered by national insurance and considered milder than Western medicine with fewer side effects",positive,0
64,"Congratulations to Dr. Uwakwe Kalu on the successful defense of his dissertation ""Intergenerational Knowledge Transfer in Traditional Herbal Medicine (THM) Practices Among the Igbo Tribe in Nigeria  A Qualitative Study."" ",positive,0
65,"Cannabis is an herbal medicine, not a medicine.  Oriental medicine has a long tradition in Asia.  It is a natural way of balancing the human body.  Especially sleep and food are important and cannabis helps them.  Check out this item on OpenSea  via ",positive,0
66,  A herbal medicine of the past with bright future  Check out this research review    Our Aches and Pains Arnica Balm incorporates a therapeutic essential oil blend with Chamomile  )    ,positive,0
67,"Today marks the 31st annual World Traditional Medicine Day. The Day, created by 42 countries and regions in 1991, aims to promote the use of herbal medicines to minimize the occurrence of side effects. ",positive,0
68,TRADITIONAL HERBAL MEDICINE PROTECTION AND WEALTH  CALL +234-8037800262 DR. KING CNAMON. ,positive,0
69,Herbal medicine   Work hand in hand..  God is Great,positive,0
70,just-mythyk  dovewithscales  alandofdawnandstarlight  made-of-love-and-stars  autumnj0y  I’m both pro herbal medicine and pro vaccination because you can treat burns with aloe vera juice and sore throats with lavender infused honey but you... ,positive,0
71,"All-natural herbal teas, stress  ; weight management products, vitamins and minerals, and herbal alternatives to traditional medicine.  Shop Online at  | 1-877-626-4112        ",positive,0
72,Research on herbal medicines is elucidating the mental health effects and underlying mechanisms of action of many individual herbs. Check out these herbal medicine key mechanisms of action.  ,positive,0
73,Work growing that herbal medicine  ,positive,0
74,"Want to learn more about natural healing? This Sunday at  Library, community medical herbalist Rabiah Mali will give an introduction to  traditions of tending to the Earth through herbal medicine.     Learn more  ; book your place  ",positive,0
75,The global herbal medicine market growth is majorly driven by the increasing government support and funding for herbal medicine     ,neutral,1
76,𝗟𝗮𝗴𝘂𝗻𝗱𝗶  𝗧𝗵𝗲 𝗙𝗶𝗿𝘀𝘁 𝗟𝗶𝗰𝗲𝗻𝘀𝗲𝗱 𝗣𝗵𝘆𝘁𝗼𝗺𝗲𝗱𝗶𝗰𝗶𝗻𝗲 𝗶𝗻 𝘁𝗵𝗲 𝗣𝗵𝗶𝗹𝗶𝗽𝗽𝗶𝗻𝗲𝘀    Did you know that Lagundi or Vitex negundo L. is the first phytomedicine that has a DOST-licensed herbal medicine in the Philippines?      ,neutral,1
77,One of the most brilliant scientists we have as a country Uganda   has revolutionarised the sector of Herbal medicine. It’s possible to generate annual sales of 35 bn USD from our Natural Flora. The Youth should be prepared to enter and benefit from this sector. ,positive,0
78,"pexal Sugar Knocker Ayurvedic Medicine for Diabetes, 100% Natural Herbal Product Without Side Effect (270 Veg Capsules for 3 Months) (Pack of 3) ",positive,0
79," Health Benefits of Mentha   Mentha species are famous as therapeutic herbs and have long served as herbal medicine.   Saddam Saqib, Fazal Ullah, Muhammad Naeem, Muhammad Younas, Asma Ayaz, Sajid Ali, Wajid Zaman   ",positive,0
80,"Where or when orthodox medicine fails, Orí Roots herbal extracts by Kenny  ; May's may be your best solution . Just think about it. Our products are super good, no wonder why testimonials keep coming .          ",positive,0
81,A great intro to herbal  for emergencies...    Herbal Medic  A Green Beret's Guide to Emergency Medical Preparedness and Natural First Aid  $17.99 on Amazon              ,positive,0
82,"  ""Herbal medicine for obesity"" contains 18 kinds of herbal medicines, an herb that improves the function of the viscera that have been weakened by , and an herb that allows the excess that has accumulated in the body to be taken out of the body. ",positive,0
83,My doctor prescribed a herbal medicine for me… I told her I already have  at home so I’m ok ,neutral,1
84,"This week’s new US Seller      Karma Holistic Center, specializes in alternative medicine, including acupuncture and creating herbal formula’s that provide natural healing and are proven effective.      Become a US Seller today and get featured!  ",positive,0
85,Trying to get Ben to drink herbal tea with honey is just as bad as trying to get Silas to take medicine ,neutral,1
86,"My Herbal Medicine teacher taught an entire class on the magickal uses of plants, and the entire time she kept looking to the back of the room and saying, ""I think you would like this one Lizette""    God damn, I feel so seen at this school! ",positive,0
87,I would argue that herbal medicine does a better job          ,positive,0
88,"I love the businesses I get to support through AccessAlly, like The Chestnut School of Herbal Medicine!    ",positive,0
89,"A famous female manga artist draws a commercial for herbal medicine       Ate little too much again.  Besides, accumulating due to constipation.  Then herbal medicine!  Improves constipation and removes excess fat.     ",positive,0
90,Shopkeepers - thank you for all your amazing guesses!  The Tier 12 Herbal Medicine reveal is here...  Opulent Decoction!       ,neutral,1
91," Countdown to the !     Luiza Prado de O. Martins is an artist, writer, educator, and researcher investigating plant-human relations, reproduction, herbal medicine, and radical, decolonising care. ",neutral,1
92,Use Vinegar and Your Favorite  and  to Create this Sweet and Zesty Everyday Remedy  ,positive,0
93,me when i'm talking about mental health and my mom brings up herbal medicine ,neutral,1
94,"An Exposition on the Eight Extraordinary Vessels  Acupuncture, Alchemy, and Herbal Medicine JHEFI4I     ",positive,0
95,He used to make herbal medicine. Tinctures to cure any malady…,positive,0
96,Explains why many doctors were hesitant to voice their concerns...    Review the curriculum to integrate such aspects and of course herbal medicine  ,positive,0
97,"Ayurveda is a form of holistic medicine that focused on promoting balance between your body and mind. Treatment starts with an internal purification process, followed by a special diet, herbal remedies, massage therapy, yoga, and ",positive,0
98,Come to Ghana and let me help u out with my mom’s herbal medicine but remember to come with your wife I like her a lot ,positive,0
99,Chinese Traditional Herbal Medicine Materia Medica Herbal Resource ,neutral,1
100,We've been learning about herbal medicine together!,positive,0
101,Tried the onion in the sock remedy while mani slept last night and she woke up feeling so relieved … store bought medicine isn’t it anymore and what’s crazy the FDA putting a stop to herbal practices so we can keep buying the bs that’s toxic to our bodies but keeps the gov rich,positive,0
102,DR PATRICK MAUNDU  Why the future of herbal medicine is brighter  via  ,positive,0
103,TRADITIONAL/HERBAL MEDICINE POISONING     Use of Traditional Medicines(TM) still widely practiced in most parts of Africa  •traditional beliefs in efficacy  •provide cheaper alternative to orthodox drugs  . the only available option,negative,2
104,"Saw this tweet     Jagermeister is herbal liquor, containing 52 different botanicals, has 35% alcohol  -marketed as alcohol.    Ayurvedic Jambavasava is herbal medicine made in India, containing 24 different botanicals, has 12% alcohol  -marketed as medicine for diabetes",neutral,1
105,"Excited to be at a fun in-person event! Come see us at the SIC Heritage Festival in Harrisburg, IL this weekend - Nov. 5-6. You can learn about natural herbal medicine and stock up on cold  ; flu remedies, and much, much more!       ",positive,0
106,"Oh you know typically asian household would do traditional medicine first like herbal meds, im not saying that its bad its just that you cannot measure the dosage or concentration of herbal things so again be cautious",negative,2
107,Customers are increasingly turning to herbal medicine. Join Prof. Dr. Elfahmi from BIT in Indonesia as he shares his valuable decades-long experience of drug discovery using natural resources           ,positive,0
108,New Research  Therapeutic mechanism and clinical application of Chinese herbal medicine against diabetic kidney disease  ,positive,0
109,The Center for Plant Medicine Research has announced it is close to completing work on a herbal medicine that could cure COVID-19. ,positive,0
110,Live on      The Center for Plant Medicine Research has announced that it is working on herbal medicine that could cure COVID-19.,positive,0
111,I bought this herbal medicine in a matatu on my way to shags and let me tell you I have been vomiting and diarrhearing in the past two days.,negative,2
112,"Patanjali Kesh Kanti Advance Herbal Hair Expert Oil is a unique Ayurvedic Proprietary Medicine, designed as a 100% natural solution for multiple hair problems of both men and women. Order Now with Order Me App.   .   .       ",positive,0
113,AJA Cortes I love eastern medicine .. to some extent. Had success with acupuncture and Chinese herbal medicine by a licensed eastern doctor after I was hit in a bad auto accident long ago,positive,0
114,You need herbal medicine to get to the root of the issue. ,positive,0
115,One of the first BSc Herbal Medicine dissertations I supervised was about psilocybin for the treatment of depression.   2012 I reckon.      ,positive,0
116,"Oh NO! Hope they feel better soon. S/o to everyone who orders stuff for their family. I see what you're doing, it's awesome.     Does anyone find it difficult to talk to family about herbal medicine? I'm curious. ",neutral,1
117,"i know this might be a bit controversial but... ngl, turning to the East was the best thing i could've possibly done for my . acupuncture, cupping, nattokinase, and chinese herbal medicine have given my symptoms a lift i didn't think was possible.",positive,0
118,"Demeter cabin is full of excellent cooks and bakers, they track mud and dirt into their cabin constantly and they are good with herbal medicine and they make amazing tea. They are also experts with posions and other plans that can cause damage.",negative,2
119,Dr.Sohn provides treatments for men’s health conditions including erectile dysfunction.        Korean acupuncture and herbal medicine are effective in treating erectile dysfunction and other men’s health issues.          ,positive,0
120,"Activities the group are interested in learning more about include (but are not limited to) folk and traditional art, music, dance, storytelling, woods lore, food, farming/gardening, herbal medicine, woodworking, sewing, quilting, weaving, knitting, general repair, and crafts. ",positive,0
121,Dr Sebi  Approved Alkaline Herbal Medicine Cookbook For Regaining Total Health 92O4VBO    ,positive,0
122,If anyone wants to bring me a loaded hot tea or herbal medicine to bring me back to life I would appreciate it ,positive,0
123,"This Dogwood 'Cornus sanguinea' known as Midwinter Fire is our  of the month.     The name comes from its twigs, used to make butchers’ skewers for meat called 'dags or 'dogs'. Other uses include the tannin-rich bark in herbal medicine.      ",neutral,1
124,This would go along way in herbal medicine.    You could use the help seasoned ewe and egbo practitioners to document and create a database of medicinal plants and their health benefits. ,positive,0
125,I want some herbal medicine to help me through the grief of the holidays this year. Its been awhile since I had some medicine/tinctures made for that.     I need to find me a good herbalist that offers this. My previous lady shopped closed during the height of the pandemic.,positive,0
126,my parents were so worried i was gonna be bald because cuz my hair didnt grow until i was 2 and they kept rubbing every oil and herbal medicine known to man and now i have curly hair that is way too thick and refuses to be straightened,positive,0
127,"Tulip is an emerging international health and wellness company in the business of manufacturing and marketing of life-saving medicines, herbal products and food supplements.         ",neutral,1
128, *KAVACH NO STONE*   Herbal stone remover capsules   per 30 capsules.  An excellent formula   For kidney problems.     Also special rates for.  Medicine traders  ;   Doctor. ,positive,0
129,"   *Jigsimur* is a natural health medicine from South Africa that has been proven to cure stubborn diseases like Cancer, Fibroid, Hiv/Aids, Kidney failure, Cataract and many other hitherto incurable diseases.  Contact  08034816035; 07038128903 ",positive,0
130,"Don't waste your time pitting the situation or yourself, cold sore has permanent treatment, go for it and get yourself cured.    Asiakale Cord Sore Herbal Medicine is available, affordable and highly effective. Contact Us Now, CALL +234 811 869 6272  Whatsapp  ",positive,0
131,"Echinacea, is a kind of wild flowers in Compositae, planted all over the country. Echinacea also has very high medicinal value, as a kind of herbal medicine currently mainly used in the treatment of cold, cough, upper respiratory tract infection and other diseases ",positive,0
132,Ghana black star's can try taking herbal medicine to boost their energy because this cup must come to Ghana. Ghana means the apple of God's eye. Sending love to everyone across the world  .,positive,0
133,Delightful. Food as Medicine.     Welcome to the FARMacy! Healing Earth and Humanity through Herbal Medicine  via ,positive,0
134,"This isn’t fair. While I agree with you and know how to do this shit minus the herbal medicine shit, I do NOT have enough money to just say fuck it and live off the land. They don’t have it ether. Together we don’t have it. Shit costs money bro. ",negative,2
135,gonna give my brother a shitload of cocaine and call it the herbal medicine of our ancestors ,negative,2
136,"Top story    'Jagermeister is herbal liquor made in Germany, containing 52 different botanicals, has 35% alcohol  -marketed as alcohol.    Ayurvedic Jambavasava is herbal medicine made in India, containing 24 di…  see more ",neutral,1
137,tawon liar are traditional herbal medicine capsules made from leaves of natural medicinal plants. One of the main ingredients is honey extract obtained from wild wasp nests that are very rare and found in the forest. The material has high efficacy to treat various diseases. ,positive,0
138,"Guangdong  can provide raw materials and standardized Chinese herbal pieces. The raw material is Chinese medicine for cleaning and disinfection. Chinese herbal pieces are processed, sliced, processed, sterilized and packaged by the factory. ",neutral,1
139,    “It was not witches who burned.  It was women.    Women who were seen as   Too beautiful   Too outspoken   Had too much water in the well   Who had a birthmark   Women who were too skilled with herbal medicine   Too loud   Too quiet  Too much red in her hair  1/2,neutral,1
140,"    As a result, 24 weeks after the start of the experiment, decreased by an average of 6.9 kilograms, while in the ""Herbal medicine for obesity"" use group, it decreased by an average of 10.8 kilograms.      ",positive,0
141,"I love learning new information always, about history, medical information and herbal medicine. My favorite to read. *If you could have any job to go with your favorite subject what would it be? Mine would be a research assistant for an author on information",positive,0
142,A Haitian ingredient combined with a Taoist practice and some herbal medicine for one or two months ,neutral,1
143,"PSA that Chinese herbal medicine is super helpful for loss of smell (parosmia) as part of long COVID. Particularly the herbs huo xiang and pei lan, aromatic and phlegm-transforming, are key for restoring the sense of smell.",positive,0
144,"Chinese medicine is helpful to prevent sea sickness, but herbal scents can also work. Give them a try next time♪",positive,0
145,"Our last two papers, both in the Saturday Nov 12th Afternoon session, need mentors. They range from environmental and scientific themes in early modern herbal medicine to technological and ecological relations and disability!     ",neutral,1
146,"The scope of herbal medicine ranges from mild-acting plant medicines such as chamomile and peppermint, to very potent ones such as foxglove.",neutral,1
147,"ZEN Prime sets the standard 4total body cleansing. This proprietary formula contains liver friendly milk thistle, full spectrum plant enzymes, grape seed extract, dandelion root and juniper berry-These key ingredients have long been used in Herbal medicine   ",neutral,1
148,"Licorice is the most frequently applied ingredient in traditional Chinese herbal medicine. It’s applied in each dose of all prescriptions. Its function is to hedge, aka de-toxicate the toxicity of the whole dose, which means it has toxicity by itself. Makes sense?",neutral,1
149,i love making cold process herbal medicine during the fall  ; winter months because this time is slower  ; renewal........,positive,0
150,"Pharmacopoeia Commission for Indian Medicine ;Homoeopathy, Ministry of Ayush in collaboration with WHO South East Asia Region has taken a major stride to upgrade laboratory capacity for quality control of Tradition/Herbal products in South East Asia region  ",neutral,1
151,"Ah yes, harvesting herbal medicine, a real world skill you will use many times ",positive,0
152,herbal medicine is dangerous yall pls take normal medicine ,negative,2
153,"IJMS, Vol. 23, Pages 13334  Potential Focal Adhesion Kinase Inhibitors in Management of Cancer  Therapeutic Opportunities from Herbal Medicine ",positive,0
154,"“Often, people take herbal medicines for a physical response, but what they find is that the body also responds in an emotional way to the plant medicine that they're taking.” - Karen Rose    2 more weeks until the Launch!    Follow  for more info ",neutral,1
155, and Chinese herbal medicine improve  herniation via acuptimes ,positive,0
156,"those who are looking for strong herbal medicine related to it  ; male vital organ enlargement oil can call, serve purchases via cod ",neutral,1
157,The result is better than only using drone larvae when the mixture contains 20%-50% Chinese herbal medicine in the experiment of mice' s swi,neutral,1
158,"WHO South-East Asia () is organising Regional Training on Lab-based Quality Control for Traditional/Herbal Products for the WHO South-East Asia Region in collaboration with Pharmacopoeia Commission for Indian Medicine  ; Homeopathy (PCIM ;H), Ministry of Ayush, GoI. ",positive,0
159,"Normalize buying land with your siblings/closest friends and raising your families together. Teach your kids how to farm, cook from scratch, harvest herbal medicine, drive manual, start a fire, preserve food, and any other real world skills your ancestors were taught.",neutral,1
160,There’s a fine line between trying herbal / natural solutions before western medicine  ; just completely rejecting western medicine altogether,neutral,1
161,The Silktree Albizia Bark as one kinds of Chinese herbal medicine are paid close attention by persons because of its special function and lo,neutral,1
162,"""Drive manual"" being on the same level as harvesting herbal medicine really makes this quite special ",neutral,1
163, medicine use found to be common among chronically ill patients in Germany    See                  ,neutral,1
164,"I rly don't like the take tht ""all herbal medicine/natural remedies are bs  ; anyone who believes in them is dumb  ; falling for placebos"" like yea there are ppl who take it too far but the difference I feel btwn when I take my tumeric supplements  ; when I dont is night and day.",positive,0
165,Happy Equinox! Come in for comfy herbal medicine! ,positive,0
166,"This is fantastic  Allows for effective regulation, licensing and standards embedded in the alternative/herbal medicine system which are effective/affordable as demonstrated by Asian examples    Ghana also found a way to institutionalize this segment and issue licenses. Long overdue ",positive,0
167,"The Intimate Herbal  A Beginner's Guide to Herbal Medicine for Sexual Health, Pleasure, and Hormonal Balance TCWSRKY    ",positive,0
168,DIY Herbal Medicine  Make Your Own Herbal Remedies AI2YXQE     ,neutral,1
169,"This is a very interesting thread. As an African who is passionate about herbal medicine as opposed to western medicine, I agree with the other lady's goal but not her methods. But I am much more interested in the comments. Very eye opening. ",positive,0
170,"The post Is Your Sun Cream Poisoning You? appeared first on CNM - Diploma Courses in Nutrition, Herbal Medicine, Acupuncture, and Natural Chef. ",neutral,1
171,harvest herbal medicine' this is such a rimworld ass list of priorities ,negative,2
172,following 'harvest herbal medicine' with 'drive manual' is great posting. ,positive,0
173,"I love me some herbal/natural/alternative/homeopathic medicine, but ""big pharma"" isn't the giant boogeyman many make it out to be. Yes, they're out to make money, but I don't think their medication is inherently evil. In fact, many times it's far more helpful than alternatives. ",positive,0
174,“drive manual” being next to “harvest herbal medicine” is something of a tell as to how much of this is role playing ,neutral,1
175,"Check it out! Apothecary At Home is a monthly subscription box that teaches you how to make and grow your own herbal medicine. New herbs, seeds, and recipes delivered each month! ",neutral,1
176,how the fuck am i meant to teach my kids herbal medicine ,negative,2
177,That’s one of the greatest things I’ve ever heard! Yes! You can tell her witches are a label the patriarchy’s used for 100’s of years to control women by labeling any herbal medicine person - a ‘witch’. Big pharmaceutical co’s use the same medicines but not nearly as holistically,neutral,1
178,"    *Jigsimur* is a natural health medicine from South Africa that has been proven to cure stubborn diseases like Cancer, Fibroid, Hiv/Aids, Kidney failure, Cataract and many other hitherto incurable diseases.  Contact  08034816035; 07038128903 ",positive,0
179,"  It's called Integrative Functional Medicine,  ; it's the fastest growing field in medicine.   It's just old school Holistic Chinese Herbal medicine and Ayurveda medicine finally being recognized as superior to western allopathic medicine.  Do Holistic medicine 1st,  ; allopathic 2nd.",positive,0
180, Dr. Mention one orthodox medicine irrespective of quality that has no side effects that attack either liver/kidney even taken as prescribed by a physician? You all are too fast to denigrate herbal medicine b/c it’s ruining business for you doctors.,negative,2
181," I understand but what we should talk about is more research and regulations. Herbal medicines work don't they?  Even the modern medicine, pharmaceutical drugs we use if abused can damage organs but it's easy to check cos there are doses unlike agbo",positive,0
182, Oh I never tried herbal medicine... Is it bitter?,neutral,1
183," Television, smart phones and medicine! There is always a herbal alternative to most ailments that would help us to learn to be more self sufficient and less reliant on putting crap in our bodies that is not meant to be there",positive,0
184,- hair routine    i use an herbal medicine shampoo that targets hair regeneration and strengthening along with the conditioner that comes with it. i rinse my hair with cold water and then pat dry with a t-shirt. then i massage in a biotin and tea tree oil spray,positive,0
185," harmful chemicals. Tell me of any pharmaceutical drugs without any side-effects. There's absolutely none. Herbal medicines are natural, organic and have curative capacity with NO side-effects. Let’s stop all these negative campaigns against herbal medicine. Let’s promotes our own",positive,0
186, It is unfortunate that western culture has gradually taken away our indigenous medicine which has more curative capacity than the orthodox medicine. Stop associating kidney or liver failure to herbal medicine. It is even the pharmaceutical drugs that has destroyed many lives with,positive,0
187, My grandma’s folk remedies are once again proven effective. Grandma always had herbal and spice remedies for every ailment. She always told me that natural unprocessed foods and herbs were my best medicine.,positive,0
188," I just want to buy all the land in my town and give it back to the lumbee Indians here, and then open up a school that teaches herbal medicine, trades, and allow people to live on our 100 acre farm if they're willing to learn to grow and harvest crops..I have so many ideas ",neutral,1
189,"  We use these in veterinary medicine. Safe, surprisingly effective especially when used with diet, exercise and herbal or other natural approaches. They drastically reduce dependency on psycho pharmaceuticals.",positive,0
190," Health education, more inclusive PHC + gradual behavioral adjustment has a better chance of success than banning or regulating something as natural as taking herbal medicine.",positive,0
191,    Is he educated on the FACTS (not myths) about one of nature’s oldest herbal medicines/foods (can eat raw)? Used safely for thousands of years as a medicine and sustenance. All those little niggles one acquires with age are easily relieved with both/either. ,positive,0
192," Find yourself an alternative medicine clinic; however the trouble with ""alternative"" medicine is a frequent lack of scientific rigor and it's cures are often unregulated as they are ""herbal remedies"" . There's no guarantee to the age, potency, or quality of these products.  /",neutral,1
193, Alfa herbal medicine for exhaustion,neutral,1
194, Everything is not about white medicine. A lot of doctors will go out of their ethics and advice a patient to go herbal. It does happen.,positive,0
195, Herbal medicine will do the magic   Trust me on that  DM me,positive,0
